club_shirt,season,yellow,red,tackles,tackles_won,ball_recoveries,interception
ARS7,2022-2023,6,0,63,34,127,14
ARS7,2021-2022,6,0,40,21,141,22
MUN10,2022-2023,2,0,20,10,97,7
MUN10,2021-2022,2,0,6,5,44,5
TOT10,2022-2023,6,0,15,12,90,2
TOT10,2021-2022,5,0,15,5,92,3
NEW9,2021-2022,4,0,9,8,28,3
NEW9,2022-2023,4,0,9,3,39,1
MCI9,2021-2022,3,0,2,1,40,1
MCI9,2022-2023,5,0,3,2,37,3
BRE17,2021-2022,8,0,33,21,105,14
BRE17,2022-2023,9,0,23,13,103,14
MCI10,2021-2022,3,0,18,17,63,8
MCI10,2022-2023,4,0,25,16,110,7
ARS11,2021-2022,3,1,27,19,86,20
ARS11,2022-2023,3,0,31,18,103,9
MCI17,2021-2022,2,0,32,16,114,6
MCI17,2022-2023,1,0,28,12,97,9
ARS8,2021-2022,4,0,49,21,162,11
ARS8,2022-2023,4,0,36,23,178,6
MUN8,2021-2022,10,0,54,28,180,17
MUN8,2022-2023,6,0,68,42,222,25
ARS34,2021-2022,10,1,32,18,146,21
ARS34,2022-2023,4,0,34,27,152,15
MCI16,2021-2022,5,0,72,43,292,28
MCI16,2022-2023,5,0,67,41,301,33
BRI25,2021-2022,2,0,16,10,56,10
BRI25,2022-2023,10,0,100,50,247,56
WHU41,2021-2022,8,0,80,42,286,63
WHU41,2022-2023,5,0,79,38,334,62
ARS6,2021-2022,8,1,50,30,178,13
ARS6,2022-2023,5,0,48,30,191,32
MCI25,2021-2022,3,0,33,23,164,35
MCI25,2022-2023,2,0,36,25,136,16
LIV4,2021-2022,3,0,16,10,204,31
LIV4,2022-2023,3,0,27,14,168,31
