CLUB_SHIRT,SEASON,completed_passes,attempted_pass,key_passes,shot_creating_action,goal_creating_actions,touches,attacking_3rd
ARS7,2022-2023,1054,1430,75,161,28,1880,1269
ARS7,2021-2022,893,1196,68,158,18,1631,979
MUN10,2022-2023,627,817,30,98,14,1212,704
MUN10,2021-2022,304,424,9,27,3,570,310
TOT10,2022-2023,643,922,57,131,18,1329,599
TOT10,2021-2022,637,945,49,128,21,1387,639
NEW9,2021-2022,107,159,10,25,0,320,169
NEW9,2022-2023,160,242,23,43,10,482,281
MCI9,2021-2022,331,476,23,61,16,701,365
MCI9,2022-2023,360,500,29,72,17,763,435
BRE17,2021-2022,440,779,43,94,10,1198,550
BRE17,2022-2023,468,787,27,66,8,1219,557
MCI10,2021-2022,833,971,53,119,6,1173,761
MCI10,2022-2023,902,1072,50,104,20,1308,772
ARS11,2021-2022,439,611,34,72,13,898,556
ARS11,2022-2023,833,1107,59,127,17,1490,965
MCI17,2021-2022,1170,1568,87,152,14,1821,1027
MCI17,2022-2023,1192,1626,96,176,31,1860,1041
ARS8,2021-2022,1368,1633,77,159,15,1867,796
ARS8,2022-2023,1450,1805,76,163,17,2101,1061
MUN8,2021-2022,1549,2093,88,155,11,2445,965
MUN8,2022-2023,1498,2029,119,219,18,2407,1077
ARS34,2021-2022,1367,1589,32,87,5,1786,461
ARS34,2022-2023,1381,1631,47,110,17,1890,658
MCI16,2021-2022,2640,2887,29,93,6,3171,622
MCI16,2022-2023,2723,2987,32,92,10,3272,592
BRI25,2021-2022,225,275,4,13,3,358,91
BRI25,2022-2023,1992,2250,43,88,5,2602,558
WHU41,2021-2022,1986,2197,24,78,9,2548,400
WHU41,2022-2023,1840,2129,37,100,6,2468,433
ARS6,2021-2022,1828,2049,9,22,1,2343,100
ARS6,2022-2023,2155,2411,5,24,2,2775,215
MCI25,2021-2022,1819,2013,2,16,1,2195,65
MCI25,2022-2023,1912,2056,7,23,0,2231,176
LIV4,2021-2022,2376,2655,9,31,6,2894,90
LIV4,2022-2023,2345,2592,7,22,3,2876,128
