first_name,last_name,date_of_birth,nationality,position,strong_foot
Bukayo,Saka,2001-09-05,England,Attacker,Left
Gabriel,Martinelli,2001-06-18,Brazil,Attacker,Right
Martin,Odegaard,1998-12-17,Belgium,Midfielder,Left
Granit,Xhaka,1992-09-27,Switzerland,Midfielder,Left
Magalhaes,Gabriel,1997-12-19,Brazil,Defender,Left
Ivan,Toney,1996-03-16,England,Attacker,Right
Moises,Caicedo,2001-11-02,Ecuador,Midfielder,Right
Virgil,van Dijk,1991-07-08,Netherlands,Defender,Right
Erling,Haaland,2000-07-21,Norway,Attacker,Left
Jack,Grealish,1995-09-10,England,Attacker,Right
Kevin,De Bruyne,1991-06-28,Belgium,Midfielder,Right
Hernandez,Rodri,1996-06-22,Spain,Midfielder,Right
Manuel,Akanji,1995-07-19,Switzerland,Defender,Right
Marcus,Rashford,1997-10-31,England,Attacker,Right
Bruno,Fernandes,1994-09-08,Portugal,Midfielder,Right
Callum,Wilson,1992-02-27,England,Attacker,Right
Harry,Kane,1993-07-28,England,Attacker,Right
Declan,Rice,1999-01-14,England,Midfielder,Right
