club_shirt,season,goals,assists,penalty_goals,goal_90,x_goals
ARS7,2022-2023,14,11,2,0.4,11.2
ARS7,2021-2022,11,7,2,0.33,10.3
MUN10,2021-2022,4,2,0,0.29,2.9
MUN10,2022-2023,17,5,0,0.53,15.4
TOT10,2022-2023,30,3,5,0.79,21.5
TOT10,2021-2022,17,9,4,0.47,18.6
NEW9,2022-2023,18,5,3,0.86,17.5
NEW9,2021-2022,8,0,2,0.52,6.2
MCI9,2021-2022,22,8,6,1.04,17.9
MCI9,2022-2023,36,8,7,1.17,28.4
BRE17,2022-2023,20,4,6,0.61,18.7
BRE17,2021-2022,12,5,5,0.37,11.4
MCI10,2021-2022,3,3,0,0.14,5.3
MCI10,2022-2023,5,7,0,0.22,4.6
ARS11,2022-2023,15,5,0,0.48,9.3
ARS11,2021-2022,6,6,1,0.29,7.3
MCI17,2021-2022,15,8,0,0.61,5.7
MCI17,2022-2023,7,16,0,0.26,5.6
ARS8,2022-2023,15,7,0,0.43,10
ARS8,2021-2022,7,4,0,0.23,4.8
MUN8,2021-2022,10,6,0,0.29,9.7
MUN8,2022-2023,8,8,2,0.22,9.3
ARS34,2022-2023,7,7,0,0.21,4.5
ARS34,2021-2022,1,2,0,0.04,1.4
MCI16,2021-2022,7,2,0,0.22,2.3
MCI16,2022-2023,2,6,0,0.06,4.6
BRI25,2022-2023,1,1,0,0.03,1.7
BRI25,2021-2022,1,1,0,0.14,0.8
WHU41,2021-2022,1,4,0,0.03,1.1
WHU41,2022-2023,4,1,0,0.11,2.4
ARS6,2022-2023,3,0,0,0.08,5.1
ARS6,2021-2022,5,0,0,0.15,3.2
MCI25,2021-2022,1,0,0,0.04,1.9
MCI25,2022-2023,0,1,0,0,1.3
LIV4,2022-2023,3,1,0,0.1,2.6
LIV4,2021-2022,3,1,0,0.09,2
